,Unnamed: 0,l,k_pos_bal,k_neg_bal,avg_pos_k_bal,avg_neg_k_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_k_bal,std_pos_k_bal_perc,std_neg_k_bal,std_neg_k_bal_perc,std_rel_signed_clust_coeff,std_rel_signed_clust_coeff_perc,std_pos_to_neg_ratio,std_pos_to_neg_ratio_perc,std_neg_to_pos_ratio,std_neg_to_pos_ratio_perc,std_total,std_total_perc,std_pos,std_pos_perc,std_neg,std_neg_perc,avg_of_all_pos_k_balance,avg_of_all_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,null_model,cow_year,directed,dataset,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5895584902004234,0.4104415097996032,0.6143592682536058,0.3856407317463965,0.6089716929121067,0.3910283070878949,0.6040670675092703,0.3959329324907306,0.5997958628970376,0.400204137102963,0.5962380257042298,0.4037619742957704,0.589195041883157,0.4108049581168428,0.0,dataset,True,1945.0,False,cow,False,0.1882770870337478,53.0,302.0,252.0,50.0,cx,20.0,10.0,False,False,2809.0,2809.0,4.511255025863648,261552.0,30720.0,230832.0,130250193.0,5.026045083999634,2024-12-08 17:17:20.875327
1,1,1,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.6753926701570682,0.3246073298429318,0.5834390609390611,0.4165609390609385,0.1668781218781226,1.641503267973857,0.8016670557111721,9.55,6.45,3.0999999999999988,False,False,False,0.2883244394979946,0.4941808987453267,0.2883244394979941,0.692154286352363,0.5766488789959882,3.4555091614533904,1.3660449694496424,0.8321914406760708,0.8196661547873924,1.0224520877438987,8.879611477987083,0.9298022490038832,6.967603605257692,1.0802486209701847,2.844292530665577,0.9175137195695416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.6675824175824172,0.3324175824175828,0.6285085623758381,0.3714914376241621,0.257017124751677,1.21400226757369,0.6970711253320006,18.199999999999992,12.149999999999988,6.050000000000004,False,False,False,0.2689723291002407,0.4279533250644875,0.2689723291002413,0.7240337242237078,0.537944658200482,2.093030410795505,0.7310966049166567,0.6022201312505202,0.5724781469353594,0.821262172726922,26.776108753887303,1.4712147666971052,18.69030497343476,1.538296705632492,9.292335551410098,1.5359232316380316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.6578947368421045,0.3421052631578952,0.6761891877963265,0.3238108122036708,0.3523783755926561,1.3401315789473642,0.6621826449412731,30.39999999999948,19.999999999999638,10.399999999999835,False,False,False,0.226256784912217,0.3346057419959329,0.2262567849122208,0.6987314085420645,0.4525135698244316,1.2841695210818789,0.5442542869988324,0.4061200374267196,0.5824300781447574,0.8795610736618011,62.00999919367743,2.039802605055214,39.75927564732469,1.987963782366271,23.525305524051827,2.2620486080819417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.6360052562417835,0.3639947437582179,0.5834733893557262,0.4165266106444359,0.1669467787111282,1.35256410256397,0.5198412698413186,38.0500000000001,24.199999999999925,13.850000000000223,False,False,False,0.273298361584616,0.4683990162540116,0.2732983615849623,0.6561366179273019,0.5465967231699246,3.274077687450999,0.6301969991400225,0.4659276391746594,0.2398414799406805,0.4613744499621819,99.0951436751591,2.6043401754312443,60.25578810371791,2.4899085993271943,39.41354462618217,2.845743294309136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5968992248061996,0.4031007751938004,0.5657407407407061,0.4342592592592937,0.1314814814814746,1.3275862068964068,0.7803617571060775,25.80000000000191,15.40000000000109,10.40000000000082,False,False,False,0.0464995538129669,0.0821923373453475,0.0464995538129669,0.1070778637910453,0.0929991076258458,0.7073171565909766,0.2317453465939114,0.1745614299019263,0.1553399314233138,0.1990614353007023,82.81521599321412,3.20989209276,49.67131969256576,3.225410369646899,33.14573879098744,3.1870902683639257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4999999999948818,0.5000000000051181,0.4999999999948818,0.5000000000051181,0.0,0.9999999999795276,1.0000000000204723,0.1999999999963511,0.0999999999971519,0.0999999999991992,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8717797886922299,4.358898943540674,0.4358898943416531,4.358898943540674,0.4358898943505768,4.358898943540674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
