,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.9943128638043464,0.0056871361956532,0.0,complete,False,True,0.5,358.0,63903.0,31951.0,31952.0,pyr,1000.0,,991.2107627391816,27783721.0,5227851.0,22555870.0,130250193.0,991.8358054161072,2024-11-29 12:12:39.610871
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5000046913028876,0.4999953086971123,9.382605775354423e-06,1.000018765387619,0.9999812349645142,7588747.084917742,3794409.143569984,3794337.941347757,False,False,False,532901,266453,266448,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4994799419351227,0.5005200580648782,-0.0010401161297555,0.9979219291754724,1.0020823981954627,2020929859.0727592,1009413928.6646174,1011515930.4081436,False,False,False,704729,351998,352731,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5002532512056754,0.4997467487943258,0.0005065024113496,1.0010135181720974,0.9989875080069368,572069995561.2278,286179875196.7205,285890120364.508,False,False,False,870677,435559,435118,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5001254151338123,0.499874584866184,0.0002508302676282,1.000501786398473,0.9994984652648354,168016679247639.7,84029411458130.38,83987267789508.69,False,False,False,1028584,514421,514163,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5003238435310053,0.4996761564689921,0.0006476870620131,1.001296213664847,0.9987054643299784,5.06792543673445e+16,2.5356039332355284e+16,2.532321503498908e+16,False,False,False,1179582,590173,589409,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5000151396786771,0.4999848603213238,3.0279357353216157e-05,1.000060560548441,0.999939443118917,1.55565951773047e+19,7.778533110504643e+18,7.77806206680007e+18,False,False,False,1321032,660536,660496,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5002949994830587,0.4997050005169486,0.00058999896611,1.0011806945407784,0.9988206978548264,4.832832110981433e+21,2.417841738465165e+21,2.4149903725163027e+21,False,False,False,1450850,725853,724997,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5005466039563028,0.4994533960436956,0.0010932079126072,1.002188808648148,0.997815971771726,1.5171019567678404e+24,7.593802323156043e+23,7.577217244522337e+23,False,False,False,1570607,786162,784445,,,,,,,,,,,,,,,,,,,,,
11,11,11,0.4997268496922568,0.5002731503077419,-0.0005463006154851,0.998907995331852,1.001093198445954,4.7971416444662434e+26,2.397260481516648e+26,2.399881162949589e+26,False,False,False,1678563,838823,839740,,,,,,,,,,,,,,,,,,,,,
12,12,12,0.4998345182055376,0.500165481794469,-0.0003309635889313,0.9993382918234502,1.0006621463241865,1.524785259519888e+29,7.621403055590289e+28,7.626449539608692e+28,False,False,False,1773609,886511,887098,,,,,,,,,,,,,,,,,,,,,
13,13,13,0.5002675478231658,0.499732452176832,0.0005350956463337,1.001070764253958,0.9989303810557728,4.866620107371252e+31,2.434612107301528e+31,2.4320080000697133e+31,False,False,False,1855743,928368,927375,,,,,,,,,,,,,,,,,,,,,
14,14,14,0.4994318792313757,0.5005681207686236,-0.0011362415372478,0.9977300960846186,1.0022750681013726,1.559546667419256e+34,7.788873228582283e+33,7.806593445610265e+33,False,False,False,1926527,962169,964358,,,,,,,,,,,,,,,,,,,,,
