,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.010752890153281725,0.9892471098467182,0.0,complete,False,True,0.5,98.0,4753.0,2377.0,2376.0,pyr,1000.0,,73.41671228408813,2098393.0,427143.0,1671250.0,130250193.0,73.49372911453247,2024-11-14 22:40:29.140048
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
3,3,0.500084067758615,0.4999159322413874,0.0001681355172276064,1.0003363275830675,0.9996637854951445,152321.57422222194,76173.59244444454,76147.98177777776,False,False,False,142742,71383,71359,,,,,,,,,,,,,,,,,,,,,
4,4,0.5026329447892322,0.4973670552107689,0.005265889578463298,1.0105875319309836,0.9895233895170333,10880414.818005621,5468854.9405025635,5411559.87750307,False,False,False,184964,92969,91995,,,,,,,,,,,,,,,,,,,,,
5,5,0.5014013919443576,0.49859860805564254,0.0028027838887151124,1.005621323131336,0.994410099505615,820092288.9450184,411195415.1998666,408896873.745152,False,False,False,222279,111451,110828,,,,,,,,,,,,,,,,,,,,,
6,6,0.5011861508027159,0.49881384919728444,0.002372301605431486,1.004755885605921,0.9952666257803973,63716874788.117516,31934015216.235233,31782859571.882305,False,False,False,253762,127182,126580,,,,,,,,,,,,,,,,,,,,,
7,7,0.5010265980589945,0.4989734019410072,0.002053196117987392,1.0041148408111544,0.9959020217171272,5027661707059.903,2518992241279.7007,2508669465780.2114,False,False,False,278103,139337,138766,,,,,,,,,,,,,,,,,,,,,
8,8,0.50024069102053,0.4997593089794683,0.000481382041061766,1.0009632277626699,0.9990376991522227,400129909842631.25,200161262597660.25,199968647244970.34,False,False,False,294984,147563,147421,,,,,,,,,,,,,,,,,,,,,
9,9,0.4997752705775061,0.5002247294224913,-0.00044945884498520666,0.9991014861550246,1.0008993218981521,3.201505279944287e+16,1.6000331675394706e+16,1.6014721124048084e+16,False,False,False,304811,152337,152474,,,,,,,,,,,,,,,,,,,,,
10,10,0.5000081387361498,0.49999186126384765,1.627747230215478e-05,1.000032555474525,0.9999674455852993,2.5610480133715543e+18,1.280544850379825e+18,1.2805031629917228e+18,False,False,False,307173,153589,153584,,,,,,,,,,,,,,,,,,,,,
11,11,0.4995730088860411,0.5004269911139649,-0.0008539822279237623,0.9982934928709125,1.0017094242737974,2.0479828614609558e+20,1.023116960247094e+20,1.0248659012138741e+20,False,False,False,303285,151513,151772,,,,,,,,,,,,,,,,,,,,,
12,12,0.5000852555620755,0.4999147444379271,0.00017051112414835737,1.0003410804063002,0.999659035889877,1.6305781831136333e+22,8.15428107416326e+21,8.151500756973115e+21,False,False,False,293236,146643,146593,,,,,,,,,,,,,,,,,,,,,
13,13,0.5013500509859694,0.4986499490140315,0.0027001019719379666,1.005414824522246,0.9946143378929994,1.2931945875394695e+24,6.483431723976927e+23,6.448514151417779e+23,False,False,False,278508,139630,138878,,,,,,,,,,,,,,,,,,,,,
14,14,0.4983485997823806,0.5016514002176151,-0.003302800435234443,0.9934161442910322,1.0066274901478136,1.016890860789051e+26,5.067661366057233e+25,5.101247241833233e+25,False,False,False,259174,129159,130015,,,,,,,,,,,,,,,,,,,,,
15,15,0.49942083146618876,0.5005791685338162,-0.0011583370676274201,0.9976860062494807,1.0023193607367695,7.92315496390103e+27,3.956988639906913e+27,3.966166323994156e+27,False,False,False,236546,118136,118410,,,,,,,,,,,,,,,,,,,,,
16,16,0.5005478923779515,0.4994521076220531,0.0010957847558983377,1.0021939736346603,0.9978108293480318,6.1345376563764554e+29,3.0706298946124126e+29,3.063907761764071e+29,False,False,False,212633,106433,106200,,,,,,,,,,,,,,,,,,,,,
17,17,0.501304624522702,0.4986953754772969,0.0026092490454050687,1.0052321500733945,0.9947950828343358,4.7224670655704775e+31,2.3673945791266344e+31,2.3550724864438377e+31,False,False,False,188560,94526,94034,,,,,,,,,,,,,,,,,,,,,
18,18,0.5011504021854616,0.49884959781454175,0.00230080437091985,1.0046122205590615,0.995408954356045,3.606266294259801e+33,1.8072818037561735e+33,1.7989844905036396e+33,False,False,False,164725,82552,82173,,,,,,,,,,,,,,,,,,,,,
19,19,0.499908223201171,0.500091776798827,-0.00018355359765602882,0.9996329601761681,1.0003671745915292,2.727549289345357e+35,1.363524318930254e+35,1.3640249704150975e+35,False,False,False,141648,70811,70837,,,,,,,,,,,,,,,,,,,,,
20,20,0.4981737216051231,0.5018262783948777,-0.003652556789754639,0.9927214716586035,1.0073318937377629,2.0422672842074739e+37,1.0174038934860249e+37,1.0248633907214506e+37,False,False,False,119916,59739,60177,,,,,,,,,,,,,,,,,,,,,
