,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.8953713590164579,0.1046286409835421,0.0,complete,False,True,0.5,23.0,253.0,127.0,126.0,pyr,1000.0,,4.294970750808716,145035.0,36553.0,108482.0,130250193.0,4.301971673965454,2024-11-14 18:03:42.900043
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4971455124800855,0.5028544875199152,-0.0057089750398297,0.9886468646864692,1.011483509146748,1770.856888888888,880.3735555555561,890.4833333333333,False,False,False,30128,14978,15150,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4989940216141649,0.5010059783858349,-0.0020119567716699,0.995984166140787,1.0040320258049618,26457.1414999976,13201.955437498824,13255.186062498777,False,False,False,34792,17361,17431,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.503923860410753,0.4960761395892472,0.0078477208215057,1.01581958936385,0.9844267726971512,402232.2597599702,202694.43311998493,199537.8266399853,False,False,False,35934,18108,17826,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5039267403609675,0.4960732596390331,0.0078534807219343,1.015831292191901,0.9844154316631246,6032820.051362199,3040099.3436672376,2992720.7076949654,False,False,False,33743,17004,16739,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4983980432011564,0.501601956798843,-0.0032039135976865,0.9936126373626342,1.006428423308222,87694647.95924532,43706840.94210216,43987807.01714312,False,False,False,29027,14467,14560,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5016193807488003,0.4983806192511983,0.0032387614976019,1.0064985703145282,0.9935433884297548,1231961607.440079,617975818.6303891,613985788.8096883,False,False,False,23157,11616,11541,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4991559462133997,0.5008440537865994,-0.0016881075731996,0.9966294746629478,1.0033819241982505,16608696495.583946,8290329614.624381,8318366880.959551,False,False,False,17179,8575,8604,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5014869572605989,0.4985130427393986,0.0029739145212002,1.0059655701380614,0.9940698068451362,211977656727.5576,106304030079.5346,105673626648.0225,False,False,False,11769,5902,5867,,,,,,,,,,,,,,,,,,,,,
11,11,11,0.504404390838867,0.4955956091611339,0.0088087816777331,1.0177741318020217,0.9825362708221406,2526332448310.148,1274293179646.3438,1252039268663.8066,False,False,False,7379,3722,3657,,,,,,,,,,,,,,,,,,,,,
12,12,12,0.4950254792526093,0.5049745207473919,-0.0099490414947825,0.9802979336857286,1.0200980392156858,27267562585856.61,13498138237114.188,13769424348742.455,False,False,False,4121,2040,2081,,,,,,,,,,,,,,,,,,,,,
13,13,13,0.4995344506517704,0.5004655493482312,-0.0009310986964607,0.998139534883723,1.0018639328984136,278536173254314.6,139138414293240.38,139397758961074.64,False,False,False,2148,1073,1075,,,,,,,,,,,,,,,,,,,,,
14,14,14,0.5172064777327929,0.4827935222672074,0.0344129554655855,1.071278825995804,0.933463796477498,2540754722414460.5,1314094800762943.2,1226659921651518.2,False,False,False,988,511,477,,,,,,,,,,,,,,,,,,,,,
15,15,15,0.5185185185185185,0.4814814814814805,0.0370370370370379,1.0769230769230789,0.9285714285714268,2.086710538417e+16,1.0819980569569628e+16,1.004712481460035e+16,False,False,False,405,210,195,,,,,,,,,,,,,,,,,,,,,
16,16,16,0.4303797468354415,0.5696202531645547,-0.1392405063291131,0.7555555555555559,1.3235294117647052,1.6456393438818013e+17,7.0824984420229176e+16,9.373894996795034e+16,False,False,False,158,68,90,,,,,,,,,,,,,,,,,,,,,
17,17,17,0.5178571428571414,0.4821428571428547,0.0357142857142865,1.0740740740740762,0.9310344827586188,1.1883258936959834e+18,6.15383052092561e+17,5.729428416034177e+17,False,False,False,56,29,27,,,,,,,,,,,,,,,,,,,,,
18,18,18,0.3846153846153848,0.615384615384613,-0.2307692307692281,0.6250000000000028,1.5999999999999928,5.659415167557491e+18,2.1766981413682668e+18,3.482717026189211e+18,False,False,False,13,5,8,,,,,,,,,,,,,,,,,,,,,
19,19,19,0.0,1.0,-1.0,0.0,,1.797313523487686e+19,0.0,1.797313523487686e+19,False,True,False,2,0,2,,,,,,,,,,,,,,,,,,,,,
20,20,20,1.0,0.0,1.0,,0.0,1.865386773189768e+20,1.865386773189768e+20,0.0,False,False,True,1,1,0,,,,,,,,,,,,,,,,,,,,,
21,21,21,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
22,22,22,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
23,23,23,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
