,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000265964525986,0.4999734035474012,0.0,complete,False,True,0.5,142.0,10011.0,5005.0,5006.0,cx,1000.0,10.0,False,False,20164.0,20164.0,436.1265695095062,4019554.0,793968.0,3225586.0,130250193.0,436.40783762931824,2024-11-29 20:28:10.684443
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4984666666666671,0.5015333333333328,-0.0030666666666666,1.0117120947583498,1.0247776611161057,120.0,59.816,60.184,False,False,False,0.0470269898864234,0.0470269898864234,0.0940539797728469,0.1920782578705377,0.19961979767563,0.0,5.643238786370803,5.643238786370803,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.500526984126984,0.4994730158730159,0.0010539682539664,1.0055469521242095,1.0010431659183174,630.0,315.33199999999994,314.66800000000006,False,False,False,0.0202086481067349,0.0202086481067348,0.0404172962134698,0.0851634552749656,0.0781381368095024,0.0,12.73144830724298,12.73144830724298,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4996137566137565,0.5003862433862435,-0.0007724867724864,0.9991404283443104,1.0022380303415213,3023.9999999999995,1510.832,1513.168,False,False,False,0.0092642405346199,0.0092642405346199,0.0185284810692399,0.036987212750663,0.0373442358140537,1.3642420526593924e-12,28.015063376690733,28.01506337669071,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.4999517460317456,0.5000482539682544,-9.650793650878552e-05,0.999951862477694,1.0003368174866156,12599.999999999874,6299.391999999937,6300.607999999938,False,False,False,0.0042465096422946,0.0042465096422947,0.0084930192845894,0.0170607536733929,0.0169305667436551,1.8189894035458562e-10,53.50602149291194,53.50602149291191,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4999622222222228,0.5000377777777771,-7.555555555414001e-05,0.9998907874724948,1.0001929989070912,43200.00000000744,21598.36800000372,21601.632000003712,False,False,False,0.0022879056979804,0.0022879056979804,0.0045758113959608,0.0091552587733335,0.0091515144807226,1.6007106751203534e-10,98.8375261527714,98.83752615277142,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5000101587301488,0.4999898412698512,2.031746029749881e-05,1.00005680601118,0.9999754798580942,113399.99999992907,56701.151999963695,56698.84799996662,False,False,False,0.001420428840465,0.001420428840465,0.0028408576809301,0.0056920968687769,0.0056725003361511,1.8480932340025902e-09,161.0766305086417,161.07663050864176,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.500024444444444,0.4999755555555559,4.888888888702535e-05,1.000107493472024,0.9999119385317649,201600.00000012663,100804.92800006249,100795.07200006284,False,False,False,0.0011017552134042,0.0011017552134042,0.0022035104268084,0.0044068627708794,0.0044075730945852,2.9103830456733704e-11,222.1138510224361,222.1138510224361,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5000659611992747,0.4999340388007253,0.00013192239855,1.0002742640353817,0.999746549047059,181440.00000119,90731.96800059086,90708.03200059742,False,False,False,0.0011385995879831,0.0011385995879831,0.0022771991759663,0.0045596609831423,0.0045497137330293,2.211891114711761e-09,206.58750924502223,206.5875092450221,,,,,,,,,,,,,,,,,,,,,,,,,
