,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
99,99,0.5525641025641397,0.4474358974359109,0.1051282051282288,1.2349570200573525,0.8097447795823365,7.958371594735095e+292,4.397510458116739e+292,3.5608611366187584e+292,False,False,False,780,431,349,,,,,,,,,,,,,,,,,,,,,
100,100,0.5260482846251336,0.47395171537482095,0.05209656925031271,1.1099195710455707,0.9009661835748839,7.869999999999241e+295,4.139999999999402e+295,3.7299999999994808e+295,False,False,False,787,414,373,,,,,,,,,,,,,,,,,,,,,
101,101,0.4852579852579799,0.5147420147419995,-0.029484029484019604,0.9427207637231678,1.0607594936708664,7.979609842172073e+298,3.872169395157167e+298,4.1074404470147415e+298,False,False,False,814,395,419,,,,,,,,,,,,,,,,,,,,,
102,102,0.49625935162091206,0.5037406483790385,-0.007481296758126479,0.9851485148514416,1.015075376884467,7.708573625528956e+301,3.825451749327063e+301,3.883121876201512e+301,False,False,False,802,398,404,,,,,,,,,,,,,,,,,,,,,
103,103,0.5104166666666407,0.48958333333332127,0.020833333333319312,1.042553191489334,0.9591836734694131,7.239136582147017e+304,3.694975963804018e+304,3.544160618342723e+304,False,False,False,768,392,376,,,,,,,,,,,,,,,,,,,,,
104,104,0.585526315789469,0.41447368421052366,0.17105263157894537,1.4126984126984106,0.7078651685393269,7.02662721893414e+307,4.1142751479285096e+307,2.9123520710055786e+307,False,False,False,760,445,315,,,,,,,,,,,,,,,,,,,,,
105,105,,,,,,inf,inf,inf,False,False,False,754,405,349,,,,,,,,,,,,,,,,,,,,,
106,106,,,,,,inf,inf,inf,False,False,False,736,385,351,,,,,,,,,,,,,,,,,,,,,
107,107,,,,,,inf,inf,inf,False,False,False,681,345,336,,,,,,,,,,,,,,,,,,,,,
108,108,,,,,,inf,inf,inf,False,False,False,615,333,282,,,,,,,,,,,,,,,,,,,,,
109,109,,,,,,inf,inf,inf,False,False,False,546,272,274,,,,,,,,,,,,,,,,,,,,,
110,110,,,,,,inf,inf,inf,False,False,False,483,239,244,,,,,,,,,,,,,,,,,,,,,
111,111,,,,,,inf,inf,inf,False,False,False,450,216,234,,,,,,,,,,,,,,,,,,,,,
112,112,,,,,,inf,inf,inf,False,False,False,413,202,211,,,,,,,,,,,,,,,,,,,,,
113,113,,,,,,inf,inf,inf,False,False,False,355,197,158,,,,,,,,,,,,,,,,,,,,,
114,114,,,,,,inf,inf,inf,False,False,False,289,169,120,,,,,,,,,,,,,,,,,,,,,
115,115,,,,,,inf,inf,inf,False,False,False,250,133,117,,,,,,,,,,,,,,,,,,,,,
116,116,,,,,,inf,inf,inf,False,False,False,226,105,121,,,,,,,,,,,,,,,,,,,,,
117,117,,,,,,inf,inf,inf,False,False,False,200,87,113,,,,,,,,,,,,,,,,,,,,,
118,118,,,,,,inf,inf,inf,False,False,False,160,71,89,,,,,,,,,,,,,,,,,,,,,
119,119,,,,,,inf,inf,inf,False,False,False,106,46,60,,,,,,,,,,,,,,,,,,,,,
120,120,,,,,,inf,inf,inf,False,False,False,57,30,27,,,,,,,,,,,,,,,,,,,,,
121,121,,,,,,inf,inf,inf,False,False,False,36,12,24,,,,,,,,,,,,,,,,,,,,,
122,122,,,,,,inf,inf,inf,False,False,False,24,14,10,,,,,,,,,,,,,,,,,,,,,
123,123,,,,,,inf,inf,inf,False,False,False,12,6,6,,,,,,,,,,,,,,,,,,,,,
124,124,0.0,,,0.0,,inf,0.0,inf,False,True,False,2,0,2,,,,,,,,,,,,,,,,,,,,,
125,125,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
126,126,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
127,127,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
128,128,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
129,129,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
130,130,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
131,131,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
132,132,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
133,133,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
134,134,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
135,135,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
136,136,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
137,137,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
138,138,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
139,139,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
