,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.0138930330185286,0.9861069669814708,0.0,complete,False,True,0.5,147.0,10731.0,5365.0,5366.0,pyr,1000.0,,163.26493453979492,4266285.0,879643.0,3386642.0,130250193.0,163.39696383476257,2024-11-15 02:33:59.187074
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5006805944632543,0.499319405536745,0.0013611889265092,1.002726088574599,0.9972813227803076,516822.45299989264,258762.97299994357,258059.47999994876,False,False,False,215253,107773,107480,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5005533145325378,0.4994466854674629,0.0011066290650749,1.0022157100993456,0.997789188418204,55614961.749274194,27838253.441199508,27776708.30807473,False,False,False,280130,140220,139910,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4999439782517665,0.5000560217482294,-0.0001120434964629,0.9997759381117516,1.0002241121032296,6334703231.482574,3166996734.591719,3167706496.8908296,False,False,False,339154,169558,169596,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5000817456789768,0.4999182543210244,0.0001634913579523,1.0003270361834946,0.9996730707342047,746396073154.9219,373259051231.2466,373137021923.67615,False,False,False,391458,195761,195697,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4997331610905288,0.5002668389094718,-0.0005336778189429,0.9989332136823094,1.0010679255660728,89905176245659.7,44928597923644.64,44976578322015.11,False,False,False,436593,218180,218413,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4993096074023548,0.5006903925976447,-0.0013807851952899,0.9972422374870702,1.002765388798492,1.1010805388256496e+16,5497800915594084.0,5513004472662407.0,False,False,False,475092,237218,237874,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4999871409607897,0.5000128590392139,-2.5718078424146788e-05,0.9999485651659568,1.0000514374797214,1.3606878131613348e+18,6.80326409442725e+17,6.803614037186147e+17,False,False,False,505481,252734,252747,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5001638018698024,0.499836198130197,0.0003276037396053,1.0006554221979738,0.999345007098913,1.6925958248498427e+20,8.465751627858515e+19,8.460206620639902e+19,False,False,False,528077,264125,263952,,,,,,,,,,,,,,,,,,,,,
11,11,11,0.5000654939256702,0.4999345060743325,0.0001309878513376,1.0002620100228052,0.9997380586084648,2.110645555815468e+22,1.0554610123708826e+22,1.0551845434445909e+22,False,False,False,542035,271053,270982,,,,,,,,,,,,,,,,,,,,,
12,12,12,0.4983009088586569,0.5016990911413378,-0.0033981822826809,0.9932266525040933,1.0068195386006105,2.6354889249064886e+24,1.313266526567828e+24,1.322222398338647e+24,False,False,False,547940,273039,274901,,,,,,,,,,,,,,,,,,,,,
13,13,13,0.5000541037214183,0.4999458962785816,0.0001082074428367,1.0002164383059091,0.9997836085294942,3.284854897178584e+26,1.642605171463549e+26,1.6422497257150355e+26,False,False,False,545249,272654,272595,,,,,,,,,,,,,,,,,,,,,
14,14,14,0.5008027959703192,0.4991972040296782,0.0016055919406408,1.003216348023747,0.9967939637047551,4.0900870576938025e+28,2.0483270342550724e+28,2.0417600234387195e+28,False,False,False,535628,268244,267384,,,,,,,,,,,,,,,,,,,,,
15,15,15,0.5008825989853957,0.4991174010146019,0.0017651979707937,1.0035366388092368,0.9964758249251036,5.096295198450781e+30,2.55264558419682e+30,2.543649614253949e+30,False,False,False,521188,261054,260134,,,,,,,,,,,,,,,,,,,,,
