,l,avg_pos_k_bal,avg_neg_k_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_k_bal,std_pos_k_bal_perc,std_neg_k_bal,std_neg_k_bal_perc,std_rel_signed_clust_coeff,std_rel_signed_clust_coeff_perc,std_pos_to_neg_ratio,std_pos_to_neg_ratio_perc,std_neg_to_pos_ratio,std_neg_to_pos_ratio_perc,std_total,std_total_perc,std_pos,std_pos_perc,std_neg,std_neg_perc,avg_of_all_pos_k_balance,avg_of_all_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5012393672171414,0.4987606327828586,0.500018113307138,0.499981886692862,0.5000177274350692,0.4999822725649306,0.5000162635159293,0.49998373648407063,0.500013454301812,0.49998654569818807,0.500009451552728,0.4999905484472721,0.5019542452190467,0.49804575478095314,0.0,complete,False,False,0.5,85.0,3570.0,1779.0,1791.0,cx,10.0,12.0,False,False,7225.0,7225.0,20.936347007751465,1023068.0,29245.0,993823.0,130250193.0,22.52063512802124,2024-12-07 21:19:35.508861
1,1,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5136363636363636,0.48636363636363633,0.027272727272727264,1.0621822622953663,0.9521036585471027,219.99999999999994,112.99999999999997,106.99999999999997,False,False,False,0.026426257915906602,0.051449351694685425,0.026426257915906602,0.05433436207008834,0.052852515831813204,1.9379255804998181,0.11269971161829424,0.10610204634254689,0.10132205530825056,0.1064191429144035,2.842170943040401e-14,1.2918958832001826e-16,5.813776741499453,0.05144935169468544,5.813776741499453,0.054334362070088356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.5010101010101008,0.49898989898989915,0.002020202020201653,1.004607961177774,0.9965134887335235,1485.0,743.9999999999998,741.0000000000002,False,False,False,0.008307701286621496,0.01658190377773243,0.008307701286621495,0.016649036991407445,0.016615402573243,8.22462427375678,0.033604541585090165,0.03345040342472814,0.03291813671273523,0.03303330771224295,0.0,0.0,12.336936410632918,0.016581903777732422,12.336936410632918,0.01664903699140744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.49966329966329964,0.5003367003367004,-0.0006734006734009877,0.9988012934458285,1.0014957742841204,9503.999999999998,4748.799999999997,4755.2,False,False,False,0.004295404317230033,0.008596597589065499,0.004295404317230041,0.008585027471179825,0.008590808634460087,12.757350822167274,0.017145433598540642,0.01716601060796539,0.017224369336059336,0.01719864404657273,0.0,0.0,40.82352263095427,0.008596597589065511,40.82352263095427,0.00858502747117982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.498528138528138,0.5014718614718621,-0.0029437229437241494,0.994148385896791,1.0059237808834536,55440.00000000592,27638.400000002915,27801.600000003004,False,False,False,0.0015309422464499381,0.003070924443643071,0.001530942246449957,0.0030528976081659154,0.003061884492899893,1.04014017332292,0.006076785506081467,0.006112553812175417,0.0061717526359197136,0.00613540782433771,0.0,0.0,84.87543814319409,0.0030709244436430885,84.87543814319409,0.003052897608165894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.49948372615039405,0.500516273849606,-0.0010325476992118561,0.9979412640692248,1.0020714835175495,285120.00000006385,142412.80000003226,142707.20000003162,False,False,False,0.0007281347512140831,0.0014577747243657794,0.0007281347512140846,0.0014547673857111647,0.0014562695024281536,1.4103653550724333,0.002907242396657556,0.0029132399884968458,0.002917878486522558,0.0029118466441934794,5.820766091346741e-11,2.0415144820936577e-16,207.60578026620652,0.0014577747243657837,207.60578026620655,0.0014547673857111664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.4998903318903219,0.5001096681096782,-0.00021933621935626502,0.9995634983370317,1.0004408521241186,1247399.999999303,623563.1999996391,623836.7999996638,False,False,False,0.0005097794291188336,0.001019782533483127,0.0005097794291188311,0.0010193352810908512,0.001019558858237657,4.648383478250806,0.002035229996259963,0.002036118765487099,0.002043032840276024,0.002042132561798423,2.3283064365386963e-10,1.8665275264870911e-16,635.8988598824708,0.0010197825334831159,635.8988598824709,0.0010193352810908456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.500118326118332,0.49988167388166804,0.0002366522366637838,1.0004738596404923,0.9995272497850628,4435200.000002474,2218124.8000012627,2217075.200001211,False,False,False,0.0002352402178651524,0.00047036912182556715,0.00023524021786516772,0.00047059180233291324,0.0004704804357303094,1.988066719178022,0.0009416487064237319,0.000941202708446677,0.0009402751602314788,0.0009407198857596673,0.0,0.0,1043.3374142761606,0.00047036912182559193,1043.3374142761606,0.0004705918023329073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5000481000480772,0.4999518999519227,9.620009615454064e-05,1.000192486183342,0.9998076857439526,11975040.000072997,5988096.000036228,5986944.000036767,False,False,False,9.182505090999835e-05,0.00018363243636196163,9.182505091000352e-05,0.0001836677706772067,0.00018365010182001349,1.9090428093230676,0.0003674043374389891,0.0003673336307903851,0.00036719616179043465,0.0003672667924303918,1.862645149230957e-09,1.5554396053955585e-16,1099.6086576559812,0.00018363243636196355,1099.6086576559812,0.00018366777067719832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,0.5000223398001247,0.4999776601998754,4.467960024930908e-05,1.0000894052666103,0.9999106868602713,21772799.998934958,10886886.39946761,10885913.599467348,False,False,False,7.251801972602555e-05,0.0001450295595893043,7.251801972601916e-05,0.0001450425198938463,0.00014503603945203606,3.2461355661810978,0.00029007632023224866,0.00029005038819996125,0.000290067869029901,0.0002900937782160493,0.0,0.0,1578.9203398134057,0.0001450295595892888,1578.9203398134057,0.00014504251989384362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
