,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.8785771267732578,0.1214228732267425,0.0,complete,False,True,0.9,25.0,300.0,30.0,270.0,pyr,1000.0,,5.056143760681152,165187.0,42417.0,122770.0,130250193.0,5.064144611358643,2024-11-14 18:05:26.979444
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.2436694602144941,0.7563305397855058,-0.5126610795710117,0.3221732396044703,3.103920118342829,2311.874999999524,563.3333333332675,1748.541666666256,False,False,False,33291,8112,25179,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.7150711431261373,0.284928856873863,0.4301422862522743,2.509648025726986,0.3984622503828294,38366.21093749354,27434.57031249202,10931.640625001532,False,False,False,39287,28093,11194,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.3306556980401648,0.6693443019598354,-0.3386886039196705,0.4939994216310011,2.0242938679935585,645781.2499999721,213531.24999999095,432249.99999998126,False,False,False,41330,13666,27664,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.6322548028311441,0.3677451971688566,0.2645096056622875,1.719274127027778,0.5816408124100405,10731336.805555634,6784939.236111177,3946397.569444465,False,False,False,39560,25012,14548,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.3949031718086783,0.6050968281913213,-0.2101936563826429,0.6526280644852706,1.5322663158666072,172637316.64547157,68175023.91583586,104462292.72963564,False,False,False,34649,13683,20966,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5752033958259988,0.4247966041740024,0.1504067916519963,1.3540677824966505,0.7385154664533744,2696037292.480793,1550769805.9084835,1145267486.5723128,False,False,False,28270,16261,12009,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4417760402122288,0.5582239597877702,-0.1164479195755412,0.7913956978489183,1.263590391908986,40475350839.123055,17881040219.908497,22594310619.21452,False,False,False,21486,9492,11994,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5397409769245934,0.4602590230754056,0.0794819538491878,1.1726896157691753,0.8527405602923268,580253601074.179,313186645507.79065,267066955566.38773,False,False,False,15211,8210,7001,,,,,,,,,,,,,,,,,,,,,
11,11,11,0.4759968260265883,0.5240031739734088,-0.0480063479468204,0.9083853870906962,1.1008543446551025,7946235089262.285,3782382681349.952,4163852407912.311,False,False,False,10082,4799,5283,,,,,,,,,,,,,,,,,,,,,
12,12,12,0.5154943433349719,0.4845056566650274,0.0309886866699444,1.0639593908629412,0.9398854961832088,100980202356968.84,52054723103838.23,48925479253130.53,False,False,False,6099,3144,2955,,,,,,,,,,,,,,,,,,,,,
13,13,13,0.4942594718714126,0.5057405281285868,-0.0114810562571741,0.9772985244040892,1.0232288037166055,1228772676908038.2,607332534338589.0,621440142569448.6,False,False,False,3484,1722,1762,,,,,,,,,,,,,,,,,,,,,
14,14,14,0.5261984392419168,0.4738015607580809,0.0523968784838358,1.11058823529412,0.9004237288135576,1.3639124072328214e+16,7176885799485962.0,6462238272842220.0,False,False,False,1794,944,850,,,,,,,,,,,,,,,,,,,,,
15,15,15,0.4778972520907991,0.5221027479091993,-0.0442054958184002,0.915331807780318,1.092500000000003,1.3858079910278386e+17,6.622738308376748e+16,7.235341601901616e+16,False,False,False,837,400,437,,,,,,,,,,,,,,,,,,,,,
16,16,16,0.4390243902439029,0.560975609756098,-0.1219512195121949,0.7826086956521744,1.277777777777777,1.3424141798168448e+18,5.893525667488594e+17,7.530616130679866e+17,False,False,False,369,162,207,,,,,,,,,,,,,,,,,,,,,
17,17,17,0.5222929936305724,0.4777070063694266,0.0445859872611457,1.0933333333333315,0.9146341463414648,1.2648585139673962e+19,6.606267397791485e+18,6.042317741882464e+18,False,False,False,157,82,75,,,,,,,,,,,,,,,,,,,,,
18,18,18,0.5079365079365062,0.4920634920634909,0.0158730158730153,1.032258064516128,0.9687500000000008,1.1318156288729778e+20,5.748904781577011e+19,5.569251507152735e+19,False,False,False,63,32,31,,,,,,,,,,,,,,,,,,,,,
19,19,19,0.6000000000000053,0.4000000000000022,0.2000000000000031,1.500000000000005,0.6666666666666644,1.0077503620752672e+21,6.046502172451656e+20,4.0310014483010906e+20,False,False,False,25,15,10,,,,,,,,,,,,,,,,,,,,,
20,20,20,0.4000000000000022,0.5999999999999995,-0.1999999999999973,0.6666666666666708,1.499999999999991,4.54747350886462e+21,1.818989403545858e+21,2.72848410531877e+21,False,False,False,5,2,3,,,,,,,,,,,,,,,,,,,,,
21,21,21,1.0,0.0,1.0,,0.0,2.0623462625236465e+22,2.0623462625236465e+22,0.0,False,False,True,1,1,0,,,,,,,,,,,,,,,,,,,,,
22,22,22,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
23,23,23,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
24,24,24,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
25,25,25,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
